employee_id,employee_name,month,working_days,present_days,leave_days,absent_days,late_days,attendance_percentage,overtime_hours
1001,James Anderson,2025-12-01,23,22,0,1,2,95.65,0
1002,Michael Jackson,2025-12-01,23,22,1,0,0,95.65,0
1003,Michael Thompson,2025-12-01,23,23,0,0,1,100.0,8
1004,Henry Miller,2025-12-01,23,21,1,1,3,91.3,9
1005,Ava White,2025-12-01,23,23,0,0,1,100.0,0
1006,Lucas White,2025-12-01,23,23,0,0,1,100.0,1
1007,Olivia Lee,2025-12-01,23,22,0,1,1,95.65,0
1008,Amelia Garcia,2025-12-01,23,23,0,0,0,100.0,4
1009,Charlotte Martin,2025-12-01,23,18,5,0,2,78.26,0
1010,Michael Perez,2025-12-01,23,22,1,0,1,95.65,0
1011,Evelyn Williams,2025-12-01,23,22,1,0,1,95.65,1
1012,Sophia Wilson,2025-12-01,23,23,0,0,2,100.0,0
1013,Harper Jackson,2025-12-01,23,22,1,0,1,95.65,0
1014,Mia Taylor,2025-12-01,23,17,0,6,5,73.91,0
1015,Henry Brown,2025-12-01,23,23,0,0,2,100.0,0
1016,Harper Smith,2025-12-01,23,22,0,1,1,95.65,0
1017,Ava Perez,2025-12-01,23,22,1,0,2,95.65,6
1018,Ella Jackson,2025-12-01,23,22,1,0,2,95.65,0
1019,Michael Davis,2025-12-01,23,23,0,0,1,100.0,12
1020,Olivia Thompson,2025-12-01,23,21,2,0,3,91.3,4
1021,Ethan Moore,2025-12-01,23,20,3,0,2,86.96,0
1022,Ethan Thomas,2025-12-01,23,19,3,1,2,82.61,0
1023,Olivia Smith,2025-12-01,23,20,3,0,1,86.96,0
1024,Harper Jackson,2025-12-01,23,22,1,0,0,95.65,0
1025,Michael Miller,2025-12-01,23,22,1,0,2,95.65,6
1026,Michael Johnson,2025-12-01,23,23,0,0,2,100.0,0
1027,Alexander Taylor,2025-12-01,23,23,0,0,0,100.0,0
1028,Harper Jones,2025-12-01,23,22,0,1,0,95.65,3
1029,Henry Williams,2025-12-01,23,22,0,1,0,95.65,0
1030,Amelia Davis,2025-12-01,23,21,1,1,1,91.3,6
1031,Daniel Wilson,2025-12-01,23,22,0,1,0,95.65,0
1032,Olivia Johnson,2025-12-01,23,23,0,0,2,100.0,0
1033,Ava Miller,2025-12-01,23,21,2,0,3,91.3,0
1034,Ella Johnson,2025-12-01,23,22,0,1,2,95.65,0
1035,Alexander Taylor,2025-12-01,23,20,2,1,3,86.96,0
1036,Ava Johnson,2025-12-01,23,23,0,0,2,100.0,2
1037,Amelia Smith,2025-12-01,23,20,1,2,3,86.96,0
1038,Ava Moore,2025-12-01,23,21,2,0,2,91.3,1
1039,James Wilson,2025-12-01,23,23,0,0,2,100.0,4
1040,Lucas Moore,2025-12-01,23,23,0,0,2,100.0,0
1041,Ethan Taylor,2025-12-01,23,22,0,1,2,95.65,0
1042,James Garcia,2025-12-01,23,23,0,0,0,100.0,0
1043,Benjamin Anderson,2025-12-01,23,23,0,0,2,100.0,0
1044,Ava Harris,2025-12-01,23,23,0,0,1,100.0,0
1045,Alexander Harris,2025-12-01,23,23,0,0,2,100.0,0
1046,Sophia White,2025-12-01,23,22,0,1,2,95.65,0
1047,Michael Taylor,2025-12-01,23,22,0,1,2,95.65,0
1048,Olivia Jones,2025-12-01,23,20,0,3,1,86.96,0
1049,Ella Martin,2025-12-01,23,22,1,0,2,95.65,0
1050,Sophia Brown,2025-12-01,23,21,0,2,2,91.3,0
1051,William Anderson,2025-12-01,23,23,0,0,1,100.0,6
1052,Ella Lee,2025-12-01,23,20,2,1,3,86.96,0
1053,Ella Wilson,2025-12-01,23,23,0,0,2,100.0,12
1054,Ava Johnson,2025-12-01,23,23,0,0,0,100.0,3
1055,Daniel Wilson,2025-12-01,23,18,1,4,3,78.26,0
1056,Mia Perez,2025-12-01,23,21,1,1,1,91.3,0
1057,Michael Anderson,2025-12-01,23,21,1,1,3,91.3,0
1058,Charlotte Garcia,2025-12-01,23,23,0,0,0,100.0,0
1059,Ava Jones,2025-12-01,23,23,0,0,1,100.0,0
1060,John White,2025-12-01,23,22,0,1,2,95.65,0
1061,Charlotte Miller,2025-12-01,23,22,0,1,1,95.65,3
1062,Michael Perez,2025-12-01,23,23,0,0,0,100.0,0
1063,Amelia Garcia,2025-12-01,23,22,0,1,0,95.65,0
1064,Lucas Williams,2025-12-01,23,21,0,2,1,91.3,11
1065,William Brown,2025-12-01,23,22,1,0,2,95.65,0
1066,John Davis,2025-12-01,23,20,2,1,1,86.96,0
1067,William Lee,2025-12-01,23,23,0,0,1,100.0,0
1068,Olivia Jackson,2025-12-01,23,23,0,0,2,100.0,1
1069,Henry Garcia,2025-12-01,23,21,1,1,1,91.3,0
1070,Sophia Jackson,2025-12-01,23,23,0,0,2,100.0,6
1071,Michael White,2025-12-01,23,21,0,2,3,91.3,0
1072,Emma Wilson,2025-12-01,23,23,0,0,1,100.0,0
1073,Harper Davis,2025-12-01,23,22,1,0,2,95.65,5
1074,Sophia Johnson,2025-12-01,23,23,0,0,1,100.0,0
1075,Amelia Williams,2025-12-01,23,23,0,0,1,100.0,0
1076,Harper Brown,2025-12-01,23,22,0,1,2,95.65,4
1077,Alexander Williams,2025-12-01,23,23,0,0,2,100.0,0
1078,John Moore,2025-12-01,23,21,2,0,2,91.3,6
1079,Henry Brown,2025-12-01,23,17,5,1,5,73.91,0
1080,Ella Johnson,2025-12-01,23,22,1,0,0,95.65,0
1081,Michael Lee,2025-12-01,23,22,1,0,0,95.65,4
1082,Amelia Miller,2025-12-01,23,22,1,0,0,95.65,0
1083,Evelyn Lee,2025-12-01,23,22,1,0,2,95.65,0
1084,Evelyn Johnson,2025-12-01,23,22,0,1,2,95.65,0
1085,Ava Davis,2025-12-01,23,23,0,0,0,100.0,11
1086,Alexander Perez,2025-12-01,23,23,0,0,0,100.0,0
1087,Mia Moore,2025-12-01,23,21,2,0,3,91.3,0
1088,Ethan Jackson,2025-12-01,23,22,1,0,1,95.65,0
1089,James Moore,2025-12-01,23,20,2,1,1,86.96,4
1090,Olivia Thompson,2025-12-01,23,21,2,0,1,91.3,0
1091,Ethan Taylor,2025-12-01,23,22,0,1,2,95.65,0
1092,Amelia Taylor,2025-12-01,23,22,0,1,2,95.65,0
1093,Charlotte Thomas,2025-12-01,23,23,0,0,1,100.0,0
1094,Ava Perez,2025-12-01,23,23,0,0,2,100.0,0
1095,Henry Taylor,2025-12-01,23,22,0,1,0,95.65,0
